,id,name,equation,CH4 + AQDS rep 1
34,EX_cpd01861_e0,"Exchange for (R)-1,2-Propanediol [e0]","(R)-1,2-Propanediol [e0] --> ",-0.0
35,EX_cpd03424_e0,Exchange for Vitamin B12 [e0],Vitamin B12 [e0] --> ,0.0
36,EX_cpd03453_e0,Exchange for Enterobactin [e0],Enterobactin [e0] --> ,-0.0
37,EX_cpd03726_e0,Exchange for Fe-enterochlin [e0],Fe-enterochlin [e0] --> ,-0.0
38,EX_cpd04097_e0,Exchange for Pb [e0],Pb [e0] --> ,0.0
39,EX_cpd10515_e0,Exchange for Fe2+ [e0],Fe2+ [e0] <=> ,-0.0
40,EX_cpd10516_e0,Exchange for fe3 [e0],fe3 [e0] <=> ,-0.0
41,EX_cpd11580_e0,Exchange for Gly-Gln [e0],Gly-Gln [e0] --> ,0.0
42,EX_cpd11581_e0,Exchange for gly-asn-L [e0],gly-asn-L [e0] --> ,0.0
43,EX_cpd11582_e0,Exchange for ala-L-Thr-L [e0],ala-L-Thr-L [e0] --> ,0.0
44,EX_cpd11583_e0,Exchange for Ala-Leu [e0],Ala-Leu [e0] --> ,0.0
45,EX_cpd11584_e0,Exchange for Ala-His [e0],Ala-His [e0] --> ,0.0
46,EX_cpd11585_e0,Exchange for L-alanylglycine [e0],L-alanylglycine [e0] --> ,0.0
47,EX_cpd11586_e0,Exchange for ala-L-glu-L [e0],ala-L-glu-L [e0] --> ,0.0
48,EX_cpd11587_e0,Exchange for Ala-Gln [e0],Ala-Gln [e0] --> ,0.0
49,EX_cpd11588_e0,Exchange for gly-pro-L [e0],gly-pro-L [e0] --> ,0.0
50,EX_cpd11589_e0,Exchange for gly-asp-L [e0],gly-asp-L [e0] --> ,0.0
51,EX_cpd11590_e0,Exchange for met-L-ala-L [e0],met-L-ala-L [e0] --> ,0.0
52,EX_cpd11591_e0,Exchange for Gly-Met [e0],Gly-Met [e0] --> ,0.0
53,EX_cpd11592_e0,Exchange for gly-glu-L [e0],gly-glu-L [e0] --> ,0.0
54,EX_cpd11593_e0,Exchange for ala-L-asp-L [e0],ala-L-asp-L [e0] --> ,0.0
55,EX_cpd11640_e0,Exchange for H2 [e0],H2 [e0] <=> ,-0.0
56,EX_cpd15574_e0,Exchange for tungstate [e0],tungstate [e0] --> ,0.0
57,EX_cpd15603_e0,Exchange for Gly-Cys [e0],Gly-Cys [e0] --> ,0.0
58,EX_cpd15604_e0,Exchange for Gly-Leu [e0],Gly-Leu [e0] --> ,0.0
59,EX_cpd15605_e0,Exchange for Gly-Phe [e0],Gly-Phe [e0] --> ,0.0
60,EX_cpd15606_e0,Exchange for Gly-Tyr [e0],Gly-Tyr [e0] --> ,0.0
61,EX_cpdAQDS_e0,Exchange for AQDS [e0],AQDS [e0] <=> ,-3.9279315341449754
62,EX_cpdAQH2DS_e0,Exchange for AQH2DS [e0],AQH2DS [e0] --> ,3.9279315341449754
63,EX_cpdETCM_e0,Exchange for ETC matrix (uncharged) [e0],ETC matrix (uncharged) [e0] --> ,0.0
64,EX_cpdETCMe_e0,Exchange for ETC matrix (charged) [e0],ETC matrix (charged) [e0] --> ,0.0
65,SK_cpd03091_c0,Sink for 5'-Deoxyadenosine [c0],5'-Deoxyadenosine [c0] --> ,-0.0
66,SK_cpd11416_c0,Sink for Biomass [c0],Biomass [c0] --> ,0.001
67,bio1,GramNegativeBiomass,"40.0 H2O [c0] + 40.0 ATP [c0] + 0.005484225235078905 NAD [c0] + 0.005484225235078905 NADH [c0] + 0.005484225235078905 NADPH [c0] + 0.005484225235078905 NADP [c0] + 0.005484225235078905 CoA [c0] + 0.005484225235078905 Acetyl-CoA [c0] + 0.004326810752083873 UDP-glucose [c0] + 0.004326810752083873 UDP-galactose [c0] + 0.005484225235078905 Succinyl-CoA [c0] + 0.005484225235078905 Tetrahydrofolate [c0] + 0.005484225235078905 Putrescine [c0] + 0.004326810752083873 UDPglucuronate [c0] + 0.005484225235078905 Calomide [c0] + 0.004326810752083873 UDP-N-acetyl-D-galactosamine [c0] + 0.005484225235078905 Spermidine [c0] + 0.005484225235078905 CoM [c0] + 0.005484225235078905 HTP [c0] + 0.0332 DNA [c0] + 0.2202 mRNA [c0] + 0.6256 Protein [c0] + 0.005484225235078905 ACP [c0] + 0.005484225235078905 methanofuran b [c0] + 0.005484225235078905 Coenzyme F420-3 [c0] + 0.01060681508083583 archaetidylserine [c0] + 0.01060681508083583 archaetidylethanolamine [c0] + 0.01060681508083583 2,3-O-diphytanyl-sn-glycero-1-phospho-myo-inositol [c0] + 0.01060681508083583 1-saturated archaetidyl-1D-myo-inositol 3-phosphate [c0] + 0.01060681508083583 2,3-O-phytanyl-sn-glycero-1-phosphoethanolamine [c0] + 0.01060681508083583 2,3-O-phytanyl-sn-glycero-1-phosphoserine [c0] --> 39.99451577476492 ADP [c0] + 39.99451577476492 Phosphate [c0] + 40.0 H+ [c0] + 0.005484225235078905 Dimethylbenzimidazole [c0] + 0.005484225235078905 Cobinamide [c0] + Biomass [c0] + 0.005484225235078905 apo-ACP [c0]",0.001
68,rxa09272_c0,TrfAB [c0],Fumarate [c0] + CoM [c0] + HTP [c0] --> Succinate [c0] + H+ [c0] + CoM-S-S-CoB [c0],0.0
69,rxa40330_c0,Fqo [c0],F420 [c0] + MPH2 [c0] <-- F420H2 [c0] + MP [c0],-4.723267631744239
70,rxa45615_c0,Rnf [c0],2.0 H+ [c0] + 3.0 Na+ [c0] + MP [c0] + 2.0 FD (red) [c0] <=> 2.0 H+ [e0] + 3.0 Na+ [e0] + MPH2 [c0] + 2.0 FD (ox) [c0],-0.42063129819757705
71,rxn00011_c0,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating) [c0],CO2 [c0] + 2-Hydroxyethyl-ThPP [c0] <-- Pyruvate [c0] + TPP [c0] + H+ [c0],0.0
72,rxn00014_c0,ferrocytochrome-c:hydrogen-peroxide oxidoreductase [c0],H2O2 [c0] + 2 H+ [c0] + 2 Cytochrome c2+ [c0] <=> 2 H2O [c0] + 2 Cytochrome c3+ [c0],-5.484225235078905e-06
73,rxn00018_c0,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming) [c0]","H2O [c0] + CO2 [c0] + D-Ribulose 1,5-bisphosphate [c0] <=> 2 H+ [c0] + 2 3-Phosphoglycerate [c0]",0.0
74,rxn00029_c0,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming) [c0],2 5-Aminolevulinate [c0] --> 2 H2O [c0] + H+ [c0] + Porphobilinogen [c0],0.0
75,rxn00048_c0,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase [c0]",H+ [c0] + 2 6-7-Dimethyl-8--1-D-ribityllumazine [c0] --> Riboflavin [c0] + 4--1-D-Ribitylamino-5-aminouracil [c0],0.0
76,rxn00060_c0,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing) [c0],H2O [c0] + 4 Porphobilinogen [c0] --> 4 NH3 [c0] + Hydroxymethylbilane [c0],0.0
77,rxn00062_c0,ATP phosphohydrolase [c0],H2O [c0] + ATP [c0] --> ADP [c0] + Phosphate [c0] + H+ [c0],0.0
78,rxn00064_c0,ATP aminohydrolase [c0],H2O [c0] + ATP [c0] + H+ [c0] --> NH3 [c0] + ITP [c0],0.0
79,rxn00077_c0,ATP:NAD+ 2'-phosphotransferase [c0],ATP [c0] + NAD [c0] <=> NADP [c0] + ADP [c0] + H+ [c0],1.0968450510517869e-05
80,rxn00085_c0,L-Glutamate:NADP+ oxidoreductase (transaminating) [c0],NADP [c0] + 2 L-Glutamate [c0] <-- NADPH [c0] + 2-Oxoglutarate [c0] + L-Glutamine [c0] + H+ [c0],0.0
81,rxn00097_c0,ATP:AMP phosphotransferase [c0],ATP [c0] + AMP [c0] + H+ [c0] <=> 2 ADP [c0],0.0017410669179748729
82,rxn00100_c0,ATP:dephospho-CoA 3'-phosphotransferase [c0],ATP [c0] + Dephospho-CoA [c0] --> ADP [c0] + CoA [c0] + H+ [c0],2.1936900940315585e-05
83,rxn00102_c0,carbonate hydro-lyase (carbon-dioxide-forming) [c0],H+ [c0] + H2CO3 [c0] <=> H2O [c0] + CO2 [c0],-0.003013141768493881
84,rxn00105_c0,ATP:nicotinamide-nucleotide adenylyltransferase [c0],ATP [c0] + Nicotinamide ribonucleotide [c0] --> NAD [c0] + PPi [c0],2.1936901021035737e-05
85,rxn00107_c0,ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase [c0],ATP [c0] + 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate [c0] --> ADP [c0] + 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate [c0],0.0
86,rxn00113_c0,"Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating) [c0]",H2O [c0] + 2 ATP [c0] + CO2 [c0] + NH3 [c0] --> 2 ADP [c0] + Phosphate [c0] + 3 H+ [c0] + Carbamoylphosphate [c0],0.0005087983481085411
87,rxn00117_c0,ATP:UDP phosphotransferase [c0],ATP [c0] + UDP [c0] <=> ADP [c0] + UTP [c0],0.00023494263956443104
88,rxn00119_c0,ATP:UMP phosphotransferase [c0],ATP [c0] + H+ [c0] + UMP [c0] <=> ADP [c0] + UDP [c0],0.00023494263956443104
89,rxn00122_c0,ATP:FMN adenylyltransferase [c0],ATP [c0] + FMN [c0] --> PPi [c0] + FAD [c0],0.0
90,rxn00126_c0,ATP:L-methionine S-adenosyltransferase [c0],H2O [c0] + ATP [c0] + L-Methionine [c0] --> Phosphate [c0] + PPi [c0] + S-Adenosyl-L-methionine [c0] + H+ [c0],0.0
91,rxn00127_c0,S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming] [c0],S-Adenosyl-L-methionine [c0] + H+ [c0] --> CO2 [c0] + S-Adenosylmethioninamine [c0],5.484225235078905e-06
92,rxn00128_c0,S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming) [c0],S-Adenosyl-L-methionine [c0] <-- H+ [c0] + 5-Methylthioadenosine [c0] + 1-Aminocyclopropane-1-carboxylate [c0],-5.484225235078905e-06
93,rxn00132_c0,Adenosine 5'-monophosphate phosphohydrolase [c0],H2O [c0] + AMP [c0] --> Phosphate [c0] + Adenosine [c0],0.0
94,rxn00137_c0,"Adenosine 3',5'-bisphosphate 3'-phosphohydrolase [c0]",H2O [c0] + Adenosine 3-5-bisphosphate [c0] --> Phosphate [c0] + AMP [c0],5.484225235078905e-06
95,rxn00138_c0,deamido-NAD+:ammonia ligase (AMP-forming) [c0],ATP [c0] + NH3 [c0] + Deamido-NAD [c0] --> NAD [c0] + PPi [c0] + AMP [c0] + 2 H+ [c0],0.0
96,rxn00139_c0,AMP:diphosphate phospho-D-ribosyltransferase [c0],PPi [c0] + AMP [c0] + H+ [c0] <-- PRPP [c0] + Adenine [c0],0.0
97,rxn00141_c0,S-Adenosyl-L-homocysteine hydrolase [c0],H2O [c0] + S-Adenosyl-homocysteine [c0] --> Homocysteine [c0] + Adenosine [c0],0.0
98,rxn00145_c0,(S)-Lactate:ferricytochrome-c 2-oxidoreductase [c0],2 Cytochrome c3+ [c0] + L-Lactate [c0] <=> Pyruvate [c0] + 2 H+ [c0] + 2 Cytochrome c2+ [c0],-5.484225235078905e-06
99,rxn00146_c0,(R)-Lactate:ferricytochrome-c 2-oxidoreductase [c0],2 Cytochrome c3+ [c0] + D-Lactate [c0] --> Pyruvate [c0] + 2 H+ [c0] + 2 Cytochrome c2+ [c0],0.0
100,rxn00148_c0,ATP:pyruvate 2-O-phosphotransferase [c0],ATP [c0] + Pyruvate [c0] <-- ADP [c0] + Phosphoenolpyruvate [c0] + H+ [c0],0.0
101,rxn00151_c0,"ATP:pyruvate,phosphate phosphotransferase [c0]",ATP [c0] + Phosphate [c0] + Pyruvate [c0] --> PPi [c0] + AMP [c0] + Phosphoenolpyruvate [c0] + 2 H+ [c0],0.0
102,rxn00161_c0,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating) [c0],NADP [c0] + L-Malate [c0] --> NADPH [c0] + CO2 [c0] + Pyruvate [c0],0.0
103,rxn00172_c0,Acetate:CoA ligase (ADP-forming) [c0],ATP [c0] + CoA [c0] + Acetate [c0] <-- ADP [c0] + Phosphate [c0] + Acetyl-CoA [c0],0.0
104,rxn00175_c0,Acetate:CoA ligase (AMP-forming) [c0],ATP [c0] + CoA [c0] + Acetate [c0] --> PPi [c0] + AMP [c0] + Acetyl-CoA [c0] + H+ [c0],0.0
105,rxn00178_c0,Acetyl-CoA:acetyl-CoA C-acetyltransferase [c0],2 Acetyl-CoA [c0] <=> CoA [c0] + Acetoacetyl-CoA [c0],0.0005091271238801198
106,rxn00182_c0,L-glutamate:NAD+ oxidoreductase (deaminating) [c0],H2O [c0] + NAD [c0] + L-Glutamate [c0] <=> NADH [c0] + NH3 [c0] + 2-Oxoglutarate [c0] + H+ [c0],-0.007695389679049727
107,rxn00184_c0,L-Glutamate:NADP+ oxidoreductase (deaminating) [c0],H2O [c0] + NADP [c0] + L-Glutamate [c0] <=> NADPH [c0] + NH3 [c0] + 2-Oxoglutarate [c0] + H+ [c0],0.0
108,rxn00187_c0,L-Glutamate:ammonia ligase (ADP-forming) [c0],ATP [c0] + NH3 [c0] + L-Glutamate [c0] --> ADP [c0] + Phosphate [c0] + L-Glutamine [c0] + H+ [c0],0.001438755815485554
109,rxn00189_c0,L-Glutamine amidohydrolase [c0],H2O [c0] + L-Glutamine [c0] --> NH3 [c0] + L-Glutamate [c0],0.0
110,rxn00192_c0,acetyl-CoA:L-glutamate N-acetyltransferase [c0],Acetyl-CoA [c0] + L-Glutamate [c0] --> CoA [c0] + H+ [c0] + N-Acetyl-L-glutamate [c0],0.0
111,rxn00199_c0,oxalosuccinate carboxy-lyase (2-oxoglutarate-forming) [c0],H+ [c0] + Oxalosuccinate [c0] --> CO2 [c0] + 2-Oxoglutarate [c0],0.00102065339299712
112,rxn00202_c0,"acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming) [c0]",CoA [c0] + H+ [c0] + Homocitrate [c0] <-- H2O [c0] + Acetyl-CoA [c0] + 2-Oxoglutarate [c0],-5.484225235052875e-06
113,rxn00211_c0,UDP-glucose:NAD+ 6-oxidoreductase [c0],H2O [c0] + 2 NAD [c0] + UDP-glucose [c0] <=> 2 NADH [c0] + 3 H+ [c0] + UDPglucuronate [c0],4.326810752083873e-06
114,rxn00213_c0,UTP:alpha-D-glucose-1-phosphate uridylyltransferase [c0],UTP [c0] + Glucose-1-phosphate [c0] --> PPi [c0] + UDP-glucose [c0],1.298043225625162e-05
115,rxn00214_c0,UDP-glucose 4-epimerase [c0],UDP-glucose [c0] <=> UDP-galactose [c0],4.326810752083873e-06
116,rxn00227_c0,Acetyl phosphate phosphohydrolase [c0],H2O [c0] + Acetylphosphate [c0] --> Phosphate [c0] + Acetate [c0] + H+ [c0],0.0
117,rxn00237_c0,ATP:GDP phosphotransferase [c0],ATP [c0] + GDP [c0] <=> ADP [c0] + GTP [c0],0.004777980061908253
118,rxn00239_c0,ATP:GMP phosphotransferase [c0],ATP [c0] + H+ [c0] + GMP [c0] <=> ADP [c0] + GDP [c0],0.0001811256032026817
119,rxn00241_c0,GTP phosphohydrolase [c0],H2O [c0] + GTP [c0] --> Phosphate [c0] + GDP [c0] + H+ [c0],0.0
120,rxn00245_c0,"(R,R)-tartrate hydro-lyase (oxaloacetate-forming) [c0]",Tartrate [c0] --> H2O [c0] + Oxaloacetate [c0],0.0
121,rxn00248_c0,MDH NAD [c0],NAD [c0] + L-Malate [c0] <=> NADH [c0] + Oxaloacetate [c0] + H+ [c0],0.0008901704221603384
122,rxn00250_c0,PC [c0],ATP [c0] + Pyruvate [c0] + H2CO3 [c0] <=> ADP [c0] + Phosphate [c0] + Oxaloacetate [c0] + H+ [c0],0.0026610298166504696
123,rxn00256_c0,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing) [c0],CoA [c0] + H+ [c0] + Citrate [c0] <-- H2O [c0] + Acetyl-CoA [c0] + Oxaloacetate [c0],-0.00102065339299712
124,rxn00260_c0,L-Aspartate:2-oxoglutarate aminotransferase [c0],2-Oxoglutarate [c0] + L-Aspartate [c0] <=> L-Glutamate [c0] + Oxaloacetate [c0],-0.002530546845813688
125,rxn00272_c0,L-Alanine:glyoxylate aminotransferase [c0],L-Alanine [c0] + Glyoxalate [c0] --> Pyruvate [c0] + Glycine [c0],1.0968450470157792e-05
126,rxn00274_c0,Acetyl-CoA:glycine C-acetyltransferase [c0],Acetyl-CoA [c0] + Glycine [c0] --> CoA [c0] + L-2-Amino-acetoacetate [c0],6.503214158622823e-05
127,rxn00285_c0,SucCD [c0],ATP [c0] + CoA [c0] + Succinate [c0] <=> ADP [c0] + Phosphate [c0] + Succinyl-CoA [c0],5.484225235078888e-06
128,rxn00288_c0,Succinate:(acceptor) oxidoreductase [c0],FAD [c0] + Succinate [c0] + H+ [c0] --> Fumarate [c0] + FADH2 [c0],0.0
129,rxn00293_c0,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase [c0],UTP [c0] + N-Acetyl-D-glucosamine1-phosphate [c0] --> PPi [c0] + UDP-N-acetylglucosamine [c0],4.326810752083873e-06
130,rxn00295_c0,UDP-N-acetyl-D-glucosamine 4-epimerase [c0],UDP-N-acetylglucosamine [c0] --> UDP-N-acetyl-D-galactosamine [c0],4.326810752083873e-06
131,rxn00299_c0,"GTP 7,8-8,9-dihydrolase [c0]","H2O [c0] + GTP [c0] --> Formate [c0] + H+ [c0] + 7,8-Dihydroneopterin 3'-triphosphate [c0]",5.484225235078888e-06
132,rxn00300_c0,"GTP 7,8-8,9-dihydrolase (diphosphate-forming) [c0]","3 H2O [c0] + GTP [c0] --> PPi [c0] + Formate [c0] + 3 H+ [c0] + 2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone [c0]",5.484225235078905e-06
133,rxn00304_c0,GTP:pyruvate 2-O-phosphotransferase [c0],Pyruvate [c0] + GTP [c0] --> GDP [c0] + Phosphoenolpyruvate [c0] + H+ [c0],0.004322382940953089
134,rxn00305_c0,GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming) [c0],Oxaloacetate [c0] + GTP [c0] --> CO2 [c0] + GDP [c0] + Phosphoenolpyruvate [c0],0.0
135,rxn00313_c0,"meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming) [c0]","H+ [c0] + meso-2,6-Diaminopimelate [c0] --> CO2 [c0] + L-Lysine [c0]",0.0003176789294068704
136,rxn00321_c0,"L-Lysine 2,3-aminomutase [c0]",L-Lysine [c0] <=> L-beta-Lysine [c0],0.0
137,rxn00337_c0,ATP:L-aspartate 4-phosphotransferase [c0],ATP [c0] + L-Aspartate [c0] <=> ADP [c0] + 4-Phospho-L-aspartate [c0],0.0009097171265575785
138,rxn00346_c0,L-aspartate 1-carboxy-lyase (beta-alanine-forming) [c0],L-Aspartate [c0] + H+ [c0] --> CO2 [c0] + beta-Alanine [c0],2.1936900940315585e-05
139,rxn00363_c0,Cytidine-5'-monophosphate phosphohydrolase [c0],H2O [c0] + CMP [c0] --> Phosphate [c0] + Cytidine [c0],0.0
140,rxn00364_c0,ATP:CMP phosphotransferase [c0],ATP [c0] + CMP [c0] + H+ [c0] <=> ADP [c0] + CDP [c0],6.364089048501497e-05
141,rxn00379_c0,ATP:sulfate adenylyltransferase [c0],ATP [c0] + Sulfate [c0] <=> PPi [c0] + APS [c0],5.484225235052875e-06
142,rxn00405_c0,L-arginine carboxy-lyase (agmatine-forming) [c0],L-Arginine [c0] + H+ [c0] --> CO2 [c0] + Agmatine [c0],0.0
143,rxn00409_c0,ATP:CDP phosphotransferase [c0],ATP [c0] + CDP [c0] <=> ADP [c0] + CTP [c0],6.364089048501497e-05
144,rxn00410_c0,UTP:ammonia ligase (ADP-forming) [c0],ATP [c0] + NH3 [c0] + UTP [c0] --> ADP [c0] + Phosphate [c0] + CTP [c0] + 2 H+ [c0],0.00012245432080937264
145,rxn00411_c0,CTP:pyruvate 2-O-phosphotransferase [c0],Pyruvate [c0] + CTP [c0] --> Phosphoenolpyruvate [c0] + H+ [c0] + CDP [c0],0.0
146,rxn00412_c0,UTP:L-glutamine amido-ligase (ADP-forming) [c0],H2O [c0] + ATP [c0] + L-Glutamine [c0] + UTP [c0] --> ADP [c0] + Phosphate [c0] + L-Glutamate [c0] + CTP [c0] + 2 H+ [c0],0.0
147,rxn00414_c0,"hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating) [c0]",H2O [c0] + 2 ATP [c0] + L-Glutamine [c0] + H2CO3 [c0] --> 2 ADP [c0] + Phosphate [c0] + L-Glutamate [c0] + 2 H+ [c0] + Carbamoylphosphate [c0],0.0
148,rxn00416_c0,L-aspartate:L-glutamine amido-ligase (AMP-forming) [c0],H2O [c0] + ATP [c0] + L-Aspartate [c0] + L-Glutamine [c0] --> PPi [c0] + AMP [c0] + L-Glutamate [c0] + 2 H+ [c0] + L-Asparagine [c0],0.0002231793151674549
149,rxn00420_c0,O-phospho-L-serine phosphohydrolase [c0],H2O [c0] + phosphoserine [c0] --> Phosphate [c0] + L-Serine [c0],0.0013803298626748554
150,rxn00423_c0,acetyl-CoA:L-serine O-acetyltransferase [c0],Acetyl-CoA [c0] + L-Serine [c0] --> CoA [c0] + O-Acetyl-L-serine [c0],0.00011767609025577382
151,rxn00424_c0,L-Serine:glyoxylate aminotransferase [c0],Glyoxalate [c0] + L-Serine [c0] <=> Glycine [c0] + Hydroxypyruvate [c0],0.0
152,rxn00438_c0,ATP:thiamin-phosphate phosphotransferase [c0],ATP [c0] + H+ [c0] + Thiamine phosphate [c0] --> ADP [c0] + TPP [c0],0.0
153,rxn00459_c0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming) [c0],2-Phospho-D-glycerate [c0] <=> H2O [c0] + Phosphoenolpyruvate [c0],-0.003568778649864183
154,rxn00460_c0,UTP:pyruvate 2-O-phosphotransferase [c0],Pyruvate [c0] + UTP [c0] --> UDP [c0] + Phosphoenolpyruvate [c0] + H+ [c0],0.0
155,rxn00470_c0,L-ornithine carboxy-lyase (putrescine-forming) [c0],Ornithine [c0] + H+ [c0] --> CO2 [c0] + Putrescine [c0],1.096845047015781e-05
156,rxn00471_c0,L-ornithine ammonia-lyase (cyclizing; L-proline-forming) [c0],Ornithine [c0] --> NH3 [c0] + L-Proline [c0],0.000204650992073084
157,rxn00474_c0,L-serine hydro-lyase (adding indole; L-tryptophan-forming) [c0],L-Serine [c0] + indol [c0] --> H2O [c0] + L-Tryptophan [c0],0.0
158,rxn00479_c0,L-tryptophan:oxygen 2-oxidoreductase (decarboxylating) [c0],O2 [c0] + L-Tryptophan [c0] --> H2O [c0] + CO2 [c0] + Indole-3-acetamide [c0],0.0
159,rxn00493_c0,L-Phenylalanine:2-oxoglutarate aminotransferase [c0],2-Oxoglutarate [c0] + L-Phenylalanine [c0] <=> L-Glutamate [c0] + Phenylpyruvate [c0],-0.00017148777268335982
160,rxn00506_c0,Acetaldehyde:NAD+ oxidoreductase [c0],H2O [c0] + NAD [c0] + Acetaldehyde [c0] --> NADH [c0] + Acetate [c0] + 2 H+ [c0],0.0
161,rxn00515_c0,ATP:IDP phosphotransferase [c0],ATP [c0] + IDP [c0] <=> ADP [c0] + ITP [c0],0.0
162,rxn00527_c0,L-tyrosine:2-oxoglutarate aminotransferase [c0],2-Oxoglutarate [c0] + L-Tyrosine [c0] <=> L-Glutamate [c0] + p-hydroxyphenylpyruvate [c0],-0.00013314791548416825
163,rxn00529_c0,L-tyrosine carboxy-lyase (tyramine-forming) [c0],H+ [c0] + L-Tyrosine [c0] --> CO2 [c0] + Tyramine [c0],5.484225235078905e-06
164,rxn00549_c0,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase [c0]","H2O [c0] + D-fructose-1,6-bisphosphate [c0] --> Phosphate [c0] + D-fructose-6-phosphate [c0]",0.000977463580800506
